Date,Province,Region,Last Update,Confirmed,Deaths,Recovered
2/3/2020 21:40,"Toronto, ON",Canada,2/4/2020 0:13,2,0,0
2/3/2020 21:40,,Italy,1/31/2020 8:15,2,0,0
2/3/2020 21:40,,Philippines,2/2/2020 3:33,2,1,0
2/3/2020 21:40,,Russia,1/31/2020 16:13,2,0,0
2/3/2020 21:40,,UK,2/1/2020 1:52,2,0,0
2/3/2020 21:40,"Chicago, IL",US,2/1/2020 19:43,2,0,0
2/3/2020 21:40,"San Benito, CA",US,2/3/2020 3:53,2,0,0
2/3/2020 21:40,"Santa Clara, CA",US,2/3/2020 0:43,2,0,0
2/3/2020 21:40,,Cambodia,1/31/2020 8:15,1,0,0
2/3/2020 21:40,British Columbia,Canada,2/1/2020 18:12,1,0,0
2/3/2020 21:40,"London, ON",Canada,2/4/2020 0:03,1,0,0
2/3/2020 21:40,,Finland,1/31/2020 8:15,1,0,0
2/3/2020 21:40,Tibet,Mainland China,2/1/2020 1:52,1,0,0
2/3/2020 21:40,,Nepal,1/31/2020 8:15,1,0,0
2/3/2020 21:40,,Spain,2/1/2020 23:43,1,0,0
2/3/2020 21:40,,Sri Lanka,1/31/2020 8:15,1,0,0
2/3/2020 21:40,,Sweden,2/1/2020 2:13,1,0,0
2/3/2020 21:40,"Boston, MA",US,2/1/2020 19:43,1,0,0
2/3/2020 21:40,"Los Angeles, CA",US,2/1/2020 19:53,1,0,0
2/3/2020 21:40,"Orange, CA",US,2/1/2020 19:53,1,0,0
2/3/2020 21:40,"Seattle, WA",US,2/1/2020 19:43,1,0,0
2/3/2020 21:40,"Tempe, AZ",US,2/1/2020 19:43,1,0,0
2/2/2020 5:00,Hubei,Mainland China,2/1/2020 23:33,11177,350,295
2/2/2020 5:00,Zhejiang,Mainland China,2/2/2020 2:13,661,0,32
2/2/2020 5:00,Guangdong,Mainland China,2/2/2020 8:53,632,0,15
2/2/2020 5:00,Henan,Mainland China,2/2/2020 0:53,493,2,10
2/2/2020 5:00,Hunan,Mainland China,2/2/2020 9:43,463,0,16
2/2/2020 5:00,Anhui,Mainland China,2/2/2020 1:33,340,0,7
2/2/2020 5:00,Jiangxi,Mainland China,2/2/2020 1:23,333,0,12
2/2/2020 5:00,Chongqing,Mainland China,2/2/2020 8:23,300,2,7
2/2/2020 5:00,Jiangsu,Mainland China,2/2/2020 1:13,236,0,7
2/2/2020 5:00,Sichuan,Mainland China,2/2/2020 1:03,231,1,11
2/2/2020 5:00,Shandong,Mainland China,2/2/2020 7:43,230,0,6
2/2/2020 5:00,Shanghai,Mainland China,2/2/2020 8:43,193,1,10
